Epoka,BPM_Srednie,SPO2,HRV,Energia_Ruchu,Faza_Snu
1,111,96,14.95,13.32,0
2,98,98,5.96,14.26,0
3,92,100,4.54,13.96,0
4,93,99,2.92,14.4,0
5,101,98,8.48,17.72,0
6,118,98,9.35,12.01,0
7,119,99,6.43,14.14,0
8,99,99,1.95,12.68,0
9,78,99,1.84,5.18,0
10,77,97,2.32,4.29,0
11,81,96,2.63,5.92,0
12,83,97,1.8,5.86,0
13,81,94,2.09,5.04,0
14,81,98,2.15,6.49,0
15,81,99,1.89,6.7,0
16,79,95,2.16,3.54,0
17,74,96,2.46,7.27,0
18,74,96,3.76,2.99,0
19,79,94,3.37,5.43,0
20,79,94,2.22,1.4,0
21,78,94,2.93,4.2,0
22,77,96,3.44,6.09,0
23,79,97,2.64,5.22,0
24,77,95,3.41,0.0,1
25,72,99,4.85,0.39,1
26,64,94,3.59,1.71,1
27,62,96,2.98,1.3,1
28,60,96,3.0,1.66,1
29,61,98,3.54,1.0,1
30,60,96,5.14,0.78,1
31,62,94,4.84,0.15,1
32,62,95,4.19,0.51,1
33,65,97,4.01,0.85,1
34,68,98,4.14,2.17,0
35,68,96,5.34,1.65,1
36,65,97,5.74,1.41,1
37,64,95,5.18,0.09,1
38,64,94,4.7,2.39,1
39,66,97,3.7,0.27,1
40,65,95,4.11,1.2,1
41,65,94,4.28,1.05,1
42,64,98,3.82,1.46,1
43,65,95,3.75,1.17,1
44,65,94,3.32,0.0,1
45,64,96,2.48,0.9,1
46,63,94,2.44,0.71,1
47,60,96,3.53,0.66,1
48,63,97,3.57,1.11,1
49,61,94,4.12,0.06,2
50,62,99,5.39,0.0,2
51,58,98,6.77,0.04,2
52,57,96,6.54,0.12,2
53,57,99,4.54,0.0,2
54,57,98,5.19,0.06,2
55,57,95,6.68,0.08,2
56,56,97,6.67,0.05,2
57,57,98,5.48,0.01,2
58,57,98,4.67,0.1,2
59,57,99,5.34,0.03,2
60,56,97,7.12,0.07,2
61,56,94,7.21,0.06,2
62,55,97,6.66,0.0,2
63,56,95,7.35,0.0,2
64,57,97,6.96,0.05,2
65,57,97,7.86,0.0,2
66,57,99,7.84,0.06,2
67,57,96,6.77,0.03,2
68,59,95,8.0,0.05,2
69,57,97,8.47,0.06,2
70,56,99,8.11,0.11,2
71,55,95,7.99,0.15,2
72,56,99,6.99,0.07,2
73,56,95,7.25,0.13,2
74,57,97,7.49,0.09,2
75,57,94,7.78,0.07,2
76,57,95,7.99,0.01,2
77,57,99,7.04,0.09,2
78,58,99,8.17,0.03,2
79,58,96,7.58,0.06,2
80,56,99,5.98,0.06,2
81,55,94,8.03,0.0,2
82,55,95,9.56,0.05,2
83,55,96,8.14,0.03,2
84,55,97,6.91,0.08,2
85,56,98,7.03,0.09,2
86,57,94,7.57,0.07,2
87,57,95,7.94,0.04,2
88,57,99,7.93,0.06,2
89,57,96,7.14,0.04,2
90,57,99,6.62,0.08,2
91,57,99,6.58,0.16,2
92,57,97,5.76,0.08,2
93,57,97,6.13,0.0,2
94,58,97,7.77,0.07,2
95,57,95,8.43,0.09,2
96,64,96,5.29,6.99,0
97,64,98,5.3,0.02,2
98,65,97,9.2,0.02,2
99,56,96,7.5,0.01,2
100,57,95,4.83,0.04,2
101,56,94,5.42,0.05,2
102,57,96,5.97,0.04,2
103,56,94,5.93,0.17,2
104,56,97,6.45,0.05,2
105,56,94,7.3,0.04,2
106,56,99,7.69,0.02,2
107,56,97,8.05,0.05,2
108,56,99,8.57,0.02,2
109,57,96,7.45,0.0,2
110,56,98,6.93,0.1,2
111,57,95,7.91,0.04,2
112,56,94,7.27,0.06,2
113,57,96,6.71,0.14,2
114,57,96,7.27,0.08,2
115,57,98,7.57,0.04,2
116,57,95,7.63,0.09,2
117,56,98,6.92,0.06,2
118,56,96,6.52,0.06,2
119,60,95,5.34,0.31,1
120,63,94,4.27,0.0,1
121,65,96,4.39,0.67,1
122,69,95,3.41,8.44,0
123,69,95,2.77,0.91,1
124,71,99,3.72,1.39,1
125,68,98,3.69,0.46,1
126,67,94,3.14,0.7,1
127,66,95,2.93,1.24,1
128,66,97,3.14,0.07,1
129,64,98,3.08,1.06,1
130,63,99,3.45,0.5,1
131,62,95,4.19,0.0,1
132,63,98,3.76,1.01,1
133,64,97,3.79,1.1,1
134,66,99,4.09,0.78,1
135,67,98,3.73,0.58,1
136,66,99,3.6,1.23,1
137,66,94,4.68,1.02,1
138,65,98,4.78,0.2,1
139,68,98,2.8,0.01,3
140,64,99,1.33,0.01,3
141,70,94,1.61,0.04,3
142,70,99,1.65,0.0,3
143,72,94,1.27,0.02,3
144,69,97,1.22,0.02,3
145,65,95,1.22,0.04,3
146,67,99,1.56,0.04,3
147,71,97,2.06,0.0,3
148,75,99,1.86,0.03,3
149,75,97,1.84,0.06,3
150,71,96,2.03,0.03,3
151,73,94,1.68,0.05,3
152,77,99,1.78,5.56,0
153,75,96,1.77,0.03,3
154,78,94,1.37,7.5,0
155,74,99,1.97,1.08,0
156,77,95,2.93,4.22,0
157,74,97,3.57,1.44,0
158,73,96,4.37,5.37,0
159,67,95,5.29,0.74,1
160,66,95,5.33,1.06,1
161,63,94,3.91,1.55,1
162,65,99,3.54,0.39,1
163,62,99,3.89,0.78,1
164,65,99,3.65,0.29,1
165,63,96,4.01,0.11,1
166,64,96,3.74,0.0,1
167,61,98,4.11,0.52,1
168,64,95,4.16,0.34,1
169,61,97,3.79,0.64,1
170,64,94,4.34,0.87,1
171,63,94,4.1,0.61,1
172,68,99,3.67,1.87,1
173,66,98,3.73,0.76,1
174,67,98,3.87,0.18,1
175,66,96,4.26,0.51,1
176,64,96,4.68,1.01,1
177,66,95,4.31,1.46,1
178,63,98,3.65,1.1,1
179,66,99,3.45,1.44,1
180,63,95,4.06,0.07,1
181,65,94,4.31,1.2,1
182,64,96,4.43,1.51,1
183,65,99,5.17,0.21,1
184,64,94,5.05,0.56,1
185,65,97,4.49,1.77,1
186,65,97,4.66,1.22,1
187,67,96,4.72,1.23,1
188,67,99,4.1,1.37,1
189,66,98,3.88,0.14,1
190,63,94,4.36,0.0,1
191,62,95,3.82,1.79,1
192,63,98,3.47,1.77,1
193,65,95,4.45,0.53,1
194,66,97,3.8,0.9,1
195,66,96,3.57,1.16,1
196,67,96,4.75,0.85,1
197,67,95,4.68,0.69,1
198,66,98,4.31,0.13,1
199,62,95,4.99,0.06,2
200,69,94,4.69,6.43,0
201,65,94,5.39,0.07,2
202,66,97,6.08,0.07,2
203,56,98,5.95,0.03,2
204,57,99,7.19,0.06,2
205,57,95,7.31,0.01,2
206,57,95,6.75,0.0,2
207,56,95,7.17,0.09,2
208,56,95,7.87,0.07,2
209,56,98,7.82,0.04,2
210,56,95,7.72,0.01,2
211,57,96,6.18,0.02,2
212,57,95,6.44,0.16,2
213,58,95,6.77,0.08,2
214,56,94,5.33,0.0,2
215,56,98,7.12,0.03,2
216,56,94,7.32,0.01,2
217,56,97,7.59,0.07,2
218,56,99,8.39,0.0,2
219,57,99,7.66,0.04,2
220,57,95,7.94,0.15,2
221,56,98,7.04,0.01,2
222,55,94,6.95,0.0,2
223,55,97,6.61,0.11,2
224,56,97,7.07,0.0,2
225,55,99,7.49,0.01,2
226,56,95,8.09,0.07,2
227,56,97,8.59,0.06,2
228,58,95,6.56,0.01,2
229,57,96,5.64,0.05,2
230,56,97,5.62,0.0,2
231,55,97,7.18,0.0,2
232,56,95,7.58,0.11,2
233,57,94,6.93,0.02,2
234,66,99,4.77,3.14,0
235,66,99,4.68,0.04,2
236,66,94,7.65,0.0,2
237,66,94,5.52,4.53,0
238,66,95,5.28,0.1,2
239,66,99,7.34,0.0,2
240,56,99,6.81,0.08,2
241,56,95,7.53,0.11,2
242,54,96,7.34,0.05,2
243,55,94,7.41,0.02,2
244,55,97,7.46,0.03,2
245,57,97,7.44,0.01,2
246,56,97,8.38,0.0,2
247,57,98,8.01,0.03,2
248,57,99,7.67,0.0,2
249,58,99,7.68,0.02,2
250,56,95,7.69,0.12,2
251,56,98,6.52,0.1,2
252,55,96,6.27,0.08,2
253,57,98,6.21,0.0,2
254,57,97,5.5,0.05,2
255,57,98,5.54,0.07,2
256,57,98,7.14,0.04,2
257,58,97,7.98,0.07,2
258,57,95,7.45,0.08,2
259,58,98,4.99,1.02,1
260,60,94,3.32,0.39,1
261,62,96,4.15,1.46,1
262,64,99,3.65,1.58,1
263,63,95,2.97,1.55,1
264,64,95,3.53,1.59,1
265,62,95,3.89,1.38,1
266,68,95,2.64,6.82,0
267,69,97,3.71,1.25,1
268,71,94,4.81,0.26,1
269,66,99,3.31,2.03,1
270,63,97,3.34,0.7,1
271,62,99,4.06,0.0,1
272,65,98,3.87,0.97,1
273,71,94,3.82,7.31,0
274,70,97,3.85,0.75,1
275,68,98,4.2,1.54,1
276,63,94,4.83,0.5,1
277,62,97,4.62,1.89,1
278,63,95,4.55,1.2,1
279,67,97,3.32,0.03,3
280,71,95,1.51,0.0,3
281,70,96,1.67,0.04,3
282,69,98,1.61,0.0,3
283,71,97,1.92,0.02,3
284,74,95,1.87,0.03,3
285,74,99,1.57,0.03,3
286,72,97,1.56,0.0,3
287,70,99,1.47,0.03,3
288,68,94,1.33,0.05,3
289,65,96,0.86,0.02,3
290,67,97,1.19,0.01,3
291,72,97,1.77,0.04,3
292,76,99,1.74,0.05,3
293,75,96,1.34,0.03,3
294,70,94,1.11,0.02,3
295,68,96,1.24,0.03,3
296,65,99,1.63,0.04,3
297,64,96,2.03,0.04,3
298,66,95,2.04,0.04,3
299,67,98,1.74,0.0,3
300,66,99,1.71,0.05,3
301,66,95,1.29,0.03,3
302,68,98,1.06,0.03,3
303,69,98,1.5,0.02,3
304,71,99,1.76,0.05,3
305,71,99,2.04,0.05,3
306,71,97,1.8,0.0,3
307,69,96,1.47,0.0,3
308,68,95,1.7,0.01,3
309,73,97,1.86,8.23,0
310,75,96,2.25,4.08,0
311,79,95,2.12,0.09,0
312,75,98,2.19,8.72,0
313,75,95,2.4,6.71,0
314,70,94,2.67,1.17,1
315,68,94,3.65,0.0,1
316,65,99,3.66,0.7,1
317,68,99,4.74,0.62,1
318,67,99,5.93,1.36,1
319,65,95,3.7,1.06,1
320,64,99,2.78,1.47,1
321,65,96,3.68,0.62,1
322,66,97,3.47,0.32,1
323,66,97,3.85,1.01,1
324,64,94,3.97,1.11,1
325,67,99,4.01,1.9,1
326,68,95,3.64,0.25,1
327,68,95,3.48,1.42,1
328,66,96,3.95,0.27,1
329,64,97,3.37,1.35,1
330,64,94,3.05,0.13,1
331,65,97,3.55,0.07,1
332,65,96,3.43,0.93,1
333,66,97,3.4,0.82,1
334,64,98,3.67,0.49,1
335,65,99,4.01,1.4,1
336,63,94,4.24,1.65,1
337,65,97,3.99,1.49,1
338,66,98,3.64,1.02,1
339,68,99,4.69,1.15,1
340,68,97,5.15,0.76,1
341,67,97,4.24,1.88,1
342,66,95,3.59,1.45,1
343,65,97,3.51,0.0,1
344,65,94,3.82,0.55,1
345,64,99,4.02,0.11,1
346,72,99,3.81,6.05,0
347,72,95,3.62,1.02,1
348,72,97,3.68,1.1,1
349,64,97,3.44,1.32,1
350,63,98,3.68,1.06,1
351,64,96,3.94,1.01,1
352,64,96,4.42,1.01,1
353,65,97,4.4,0.0,1
354,61,96,3.68,0.62,1
355,60,99,3.58,1.0,1
356,61,96,3.79,1.25,1
357,65,97,4.18,1.4,1
358,68,97,4.14,1.28,1
359,68,99,3.53,0.25,1
360,67,97,3.78,0.45,1
361,66,99,3.39,0.17,1
362,64,97,3.09,0.89,1
363,65,98,4.1,1.34,1
364,64,97,4.16,1.28,1
365,65,98,4.26,0.24,1
366,70,96,3.51,4.57,0
367,70,97,4.12,0.0,1
368,69,96,4.63,0.73,1
369,64,97,3.93,1.77,1
370,65,97,4.61,1.52,1
371,66,95,3.89,2.1,1
372,66,94,3.58,0.0,1
373,67,94,3.96,0.74,1
374,64,96,5.61,0.03,2
375,62,96,6.65,0.0,2
376,56,94,5.81,0.0,2
377,56,94,6.23,0.1,2
378,56,99,6.71,0.0,2
